TIME_STAMP	Lon	Lat	5G-NR NAS Registration Procedure Registration Time(ReqToAcc) [sec]	5G-NR NAS Registration Procedure Registration Time(ReqToComp) [sec]
2024-03-19 19:40:46.978370	-93.182449	44.976501	0.496	
2024-03-19 19:40:46.978474	-93.182449	44.976501		0.496
2024-03-19 19:42:19.077459	-93.182442	44.976501	0.433	
2024-03-19 19:42:19.077539	-93.182442	44.976501		0.434
2024-03-19 19:44:47.070218	-93.182442	44.976501	0.582	
2024-03-19 19:44:47.070294	-93.182442	44.976501		0.583
2024-03-19 19:46:19.228564	-93.182442	44.976501	0.531	
2024-03-19 19:46:19.229452	-93.182442	44.976501		0.532
2024-03-19 19:48:46.885970	-93.182442	44.976501	0.390	
2024-03-19 19:48:46.886094	-93.182442	44.976501		0.391
2024-03-19 19:50:19.172094	-93.182442	44.976501	0.431	
2024-03-19 19:50:19.172258	-93.182442	44.976501		0.432
2024-03-19 19:52:47.010355	-93.182442	44.976501	0.507	
2024-03-19 19:52:47.010526	-93.182442	44.976501		0.507
2024-03-19 19:54:19.109789	-93.182442	44.976501	0.442	
2024-03-19 19:54:19.109939	-93.182442	44.976501		0.443
2024-03-19 19:56:46.977401	-93.182442	44.976501	0.465	
2024-03-19 19:56:46.977577	-93.182442	44.976501		0.466
2024-03-19 19:58:19.261324	-93.182442	44.976501	0.508	
2024-03-19 19:58:19.261450	-93.182442	44.976501		0.508
2024-03-19 20:00:47.029417	-93.182442	44.976501	0.426	
2024-03-19 20:00:47.030278	-93.182442	44.976501		0.427
2024-03-19 20:02:19.491903	-93.182442	44.976501	0.591	
2024-03-19 20:02:19.492057	-93.182442	44.976501		0.592
2024-03-19 20:04:47.168686	-93.182442	44.976501	0.425	
2024-03-19 20:04:47.168836	-93.182442	44.976501		0.426
2024-03-19 20:06:19.250217	-93.182442	44.976501	0.421	
2024-03-19 20:06:19.250352	-93.182442	44.976501		0.421
2024-03-19 20:08:46.948161	-93.182442	44.976501	0.411	
2024-03-19 20:08:46.948253	-93.182442	44.976501		0.412
2024-03-19 20:10:19.237139	-93.182442	44.976501	0.376	
2024-03-19 20:10:19.237266	-93.182442	44.976501		0.377
2024-03-19 20:12:47.011834	-93.182442	44.976501	0.476	
2024-03-19 20:12:47.011921	-93.182442	44.976501		0.477
2024-03-19 20:14:19.235593	-93.182442	44.976501	0.366	
2024-03-19 20:14:19.235719	-93.182442	44.976501		0.367
2024-03-19 20:16:46.945595	-93.182449	44.976490	0.397	
2024-03-19 20:16:46.945828	-93.182449	44.976490		0.397
2024-03-19 20:18:19.217550	-93.182442	44.976490	0.426	
2024-03-19 20:18:19.217691	-93.182442	44.976490		0.427
2024-03-19 20:20:46.941161	-93.182442	44.976490	0.386	
2024-03-19 20:20:46.941348	-93.182442	44.976490		0.386
2024-03-19 20:22:19.100314	-93.182442	44.976490	0.383	
2024-03-19 20:22:19.100469	-93.182442	44.976490		0.383
2024-03-19 20:24:47.012232	-93.182442	44.976490	0.437	
2024-03-19 20:24:47.012338	-93.182442	44.976490		0.437
2024-03-19 20:26:19.151817	-93.182442	44.976490	0.427	
2024-03-19 20:26:19.151958	-93.182442	44.976490		0.428
2024-03-19 20:28:47.120549	-93.182442	44.976490	0.473	
2024-03-19 20:28:47.120736	-93.182442	44.976490		0.473
2024-03-19 20:30:19.270476	-93.182442	44.976490	0.376	
2024-03-19 20:30:19.270673	-93.182442	44.976490		0.377
2024-03-19 20:32:46.937850	-93.182442	44.976490	0.362	
2024-03-19 20:32:46.938022	-93.182442	44.976490		0.363
2024-03-19 20:34:19.316774	-93.182442	44.976490	0.492	
2024-03-19 20:34:19.316936	-93.182442	44.976490		0.493
2024-03-19 20:36:47.038387	-93.182442	44.976490	0.457	
2024-03-19 20:36:47.038575	-93.182442	44.976490		0.458
2024-03-19 20:38:19.325806	-93.182442	44.976501	0.416	
2024-03-19 20:38:19.325953	-93.182442	44.976501		0.416
2024-03-19 20:40:47.074056	-93.182442	44.976501	0.417	
2024-03-19 20:40:47.074226	-93.182442	44.976501		0.418
2024-03-19 20:42:19.390711	-93.182442	44.976501	0.414	
2024-03-19 20:42:19.390847	-93.182442	44.976501		0.415
2024-03-19 20:44:47.132541	-93.182457	44.976490	0.513	
2024-03-19 20:44:47.132673	-93.182457	44.976490		0.513
2024-03-19 20:46:19.359729	-93.182449	44.976479	0.517	
2024-03-19 20:46:19.359961	-93.182449	44.976479		0.517
2024-03-19 20:48:47.070939	-93.182449	44.976479	0.401	
2024-03-19 20:48:47.071067	-93.182449	44.976479		0.402
2024-03-19 20:50:19.319349	-93.182449	44.976490	0.490	
2024-03-19 20:50:19.319569	-93.182449	44.976490		0.491
2024-03-19 20:52:47.014941	-93.182449	44.976490	0.397	
2024-03-19 20:52:47.015137	-93.182449	44.976490		0.398
2024-03-19 20:54:19.281320	-93.182449	44.976490	0.423	
2024-03-19 20:54:19.281728	-93.182449	44.976490		0.423
2024-03-19 20:56:47.044759	-93.182449	44.976490	0.441	
2024-03-19 20:56:47.045016	-93.182449	44.976490		0.442
2024-03-19 20:58:19.304242	-93.182449	44.976490	0.442	
2024-03-19 20:58:19.312715	-93.182449	44.976490		0.443
2024-03-19 21:00:47.118594	-93.182449	44.976490	0.406	
2024-03-19 21:00:47.118778	-93.182449	44.976490		0.407
2024-03-19 21:02:19.395532	-93.182449	44.976501	0.440	
2024-03-19 21:02:19.395709	-93.182449	44.976501		0.441
2024-03-19 21:04:47.267331	-93.182449	44.976501	0.409	
2024-03-19 21:04:47.267539	-93.182449	44.976501		0.410
2024-03-19 21:06:19.536819	-93.182449	44.976501	0.507	
2024-03-19 21:06:19.536995	-93.182449	44.976501		0.508
2024-03-19 21:08:46.998817	-93.182449	44.976501	0.352	
2024-03-19 21:08:46.998969	-93.182449	44.976501		0.352
2024-03-19 21:10:19.261286	-93.182449	44.976501	0.393	
2024-03-19 21:10:19.261453	-93.182449	44.976501		0.394
2024-03-19 21:12:47.015948	-93.182449	44.976501	0.365	
2024-03-19 21:12:47.016298	-93.182449	44.976501		0.366
2024-03-19 21:14:19.292080	-93.182449	44.976501	0.392	
2024-03-19 21:14:19.292222	-93.182449	44.976501		0.393
2024-03-19 21:16:47.138471	-93.182449	44.976501	0.476	
2024-03-19 21:16:47.138702	-93.182449	44.976501		0.477
2024-03-19 21:18:19.320332	-93.182449	44.976501	0.417	
2024-03-19 21:18:19.320503	-93.182449	44.976501		0.417
2024-03-19 21:20:47.179175	-93.182449	44.976501	0.450	
2024-03-19 21:20:47.179351	-93.182449	44.976501		0.451
2024-03-19 21:22:19.317030	-93.182449	44.976501	0.406	
2024-03-19 21:22:19.317227	-93.182449	44.976501		0.407
2024-03-19 21:24:47.373729	-93.182449	44.976509	0.477	
2024-03-19 21:24:47.373936	-93.182449	44.976509		0.478
2024-03-19 21:26:19.382066	-93.182449	44.976509	0.380	
2024-03-19 21:26:19.382403	-93.182449	44.976509		0.381
2024-03-19 21:28:47.158206	-93.182419	44.976452	0.470	
2024-03-19 21:28:47.158415	-93.182419	44.976452		0.471
2024-03-19 21:30:19.432982	-93.182419	44.976460	0.507	
2024-03-19 21:30:19.433073	-93.182419	44.976460		0.507
2024-03-19 21:32:47.108734	-93.182426	44.976471	0.377	
2024-03-19 21:32:47.108946	-93.182426	44.976471		0.377
2024-03-19 21:34:19.544391	-93.182426	44.976471	0.464	
2024-03-19 21:34:19.544994	-93.182426	44.976471		0.464
2024-03-19 21:36:47.077152	-93.182426	44.976479	0.377	
2024-03-19 21:36:47.077354	-93.182426	44.976479		0.378
2024-03-19 21:38:19.387153	-93.182426	44.976479	0.446	
2024-03-19 21:38:19.387348	-93.182426	44.976479		0.447
2024-03-19 21:40:47.123861	-93.182426	44.976490	0.416	
2024-03-19 21:40:47.124015	-93.182426	44.976490		0.416
2024-03-19 21:42:19.325563	-93.182426	44.976490	0.457	
2024-03-19 21:42:19.325729	-93.182426	44.976490		0.457
2024-03-19 21:44:47.204305	-93.182442	44.976490	0.492	
2024-03-19 21:44:47.204469	-93.182442	44.976490		0.493
2024-03-19 21:46:19.367481	-93.182442	44.976490	0.427	
2024-03-19 21:46:19.367739	-93.182442	44.976490		0.428
2024-03-19 21:48:47.322739	-93.182442	44.976490	0.521	
2024-03-19 21:48:47.322948	-93.182442	44.976490		0.522
2024-03-19 21:50:19.405770	-93.182442	44.976490	0.380	
2024-03-19 21:50:19.405973	-93.182442	44.976490		0.381
2024-03-19 21:52:47.161756	-93.182442	44.976501	0.442	
2024-03-19 21:52:47.161941	-93.182442	44.976501		0.443
2024-03-19 21:54:19.445301	-93.182442	44.976501	0.391	
2024-03-19 21:54:19.445515	-93.182442	44.976501		0.392
2024-03-19 21:56:47.144952	-93.182442	44.976501	0.405	
2024-03-19 21:56:47.145182	-93.182442	44.976501		0.406
2024-03-19 21:58:19.366208	-93.182442	44.976501	0.386	
2024-03-19 21:58:19.366393	-93.182442	44.976501		0.387
2024-03-19 22:00:47.251608	-93.182442	44.976501	0.468	
2024-03-19 22:00:47.251719	-93.182442	44.976501		0.469
2024-03-19 22:02:19.468879	-93.182442	44.976501	0.481	
2024-03-19 22:02:19.469107	-93.182442	44.976501		0.482
2024-03-19 22:04:47.200151	-93.182442	44.976501	0.403	
2024-03-19 22:04:47.200306	-93.182442	44.976501		0.404
2024-03-19 22:06:19.289677	-93.182442	44.976501	0.371	
2024-03-19 22:06:19.289947	-93.182442	44.976501		0.372
2024-03-19 22:08:47.185987	-93.182442	44.976501	0.366	
2024-03-19 22:08:47.186168	-93.182442	44.976501		0.367
2024-03-19 22:10:19.454341	-93.182442	44.976501	0.451	
2024-03-19 22:10:19.454529	-93.182442	44.976501		0.452
2024-03-19 22:12:47.269390	-93.182442	44.976501	0.502	
2024-03-19 22:12:47.269617	-93.182442	44.976501		0.502
2024-03-19 22:14:19.428455	-93.182442	44.976501	0.517	
2024-03-19 22:14:19.428662	-93.182442	44.976501		0.518
2024-03-19 22:16:47.353849	-93.182442	44.976501	0.517	
2024-03-19 22:16:47.354003	-93.182442	44.976501		0.517
2024-03-19 22:18:19.407829	-93.182442	44.976501	0.394	
2024-03-19 22:18:19.408084	-93.182442	44.976501		0.395
2024-03-19 22:20:47.238532	-93.182442	44.976501	0.377	
2024-03-19 22:20:47.238697	-93.182442	44.976501		0.377
2024-03-19 22:22:19.492753	-93.182442	44.976501	0.467	
2024-03-19 22:22:19.492951	-93.182442	44.976501		0.468
2024-03-19 22:24:47.255160	-93.182442	44.976501	0.461	
2024-03-19 22:24:47.255310	-93.182442	44.976501		0.462
2024-03-19 22:26:19.434236	-93.182442	44.976501	0.403	
2024-03-19 22:26:19.434434	-93.182442	44.976501		0.403
2024-03-19 22:28:47.237663	-93.182442	44.976501	0.437	
